x1-EAN concentration (wt%),x2-Protein concentration (mg/ml),y1-Rg,Rg_err,chi2_red,t_a,y1的指标，verdict,"y1的指标，如果低于0.9, y1就不太准 - R2_w (weighted R²)",y2-crystalline_present,n_real_peaks,CI,B_factor,B_fit_chi2_red,fwhm_avg,fwhm_min,fwhm_max,snr_peak1,Chi2,Oligo_fit_class,apparent Rg_fit,dimer,dimer_err,hexamer,hexamer_err,monomer,monomer_err,octamer,octamer_err,tetramer,tetramer_err,constant,constant_err
30,75,18.6,0.1,5.1,43.7,smile curvature / wideness,0.99,TRUE,4,0.373483971,72,3999.676746,0.002,0.0011,0.00219,20,,,,,,,,,,,,,,,
30,100,14.9,0.0,0.4,32.5,smile curvature / wideness,1.00,FALSE,0,0,347,,0.002,0.0012,0.00366,28,,,,,,,,,,,,,,,
40,2.5,12.7,0.1,5.7,16.2,frown curvature / background?,0.95,FALSE,0,0,53,,0.001,0.0008,0.00215,3,,,,,,,,,,,,,,,
40,5,13.5,0.1,2.2,21.9,frown curvature / background?,0.99,FALSE,0,0,97,,0.002,0.0001,0.00364,7,,,,,,,,,,,,,,,
40,25,15.6,0.0,0.3,16.8,smile curvature / wideness,1.00,FALSE,0,0,217,,0.002,0.0009,0.00304,22,637.48,Borderline,23.6,0,0,0,0,0.956,0.001,0.044,0,0,0,0,0
40,37.5,14.8,0.0,0.1,11.4,frown curvature / background?,1.00,FALSE,0,0,254,,0.002,0.0012,0.00321,11,,,,,,,,,,,,,,,
40,40,15.0,0.0,0.0,3.3,smile curvature / wideness,1.00,FALSE,0,0,269,,0.002,0.0006,0.00290,15,,,,,,,,,,,,,,,
40,50,15.2,0.0,0.4,20.0,smile curvature / wideness,1.00,FALSE,0,0,260,,0.002,0.0014,0.00316,9,,,,,,,,,,,,,,,
40,60,15.2,0.0,0.4,24.5,smile curvature / wideness,1.00,FALSE,0,0,283,,0.002,0.0014,0.00368,53,,,,,,,,,,,,,,,
40,75,15.0,0.0,0.3,23.9,smile curvature / wideness,1.00,FALSE,0,0,296,,0.002,0.0012,0.00282,59,,,,,,,,,,,,,,,
40,100,14.5,0.0,0.1,18.5,smile curvature / wideness,1.00,FALSE,0,0,328,,0.002,0.0016,0.00350,23,,,,,,,,,,,,,,,
54.6,2.5,8.4,0.5,58.2,20.0,frown curvature / background?,0.28,FALSE,0,0,67,,0.002,0.0009,0.00266,4,,,,,,,,,,,,,,,
54.6,5,11.1,0.2,21.7,20.9,frown curvature / background?,0.76,FALSE,0,0,98,,0.002,0.0004,0.00493,6,,,,,,,,,,,,,,,
54.6,25,15.4,0.0,0.2,14.0,smile curvature / wideness,1.00,FALSE,0,0,212,,0.002,0.0008,0.00304,7,713.91,Borderline,24.7,0,0,0,0,0.946,0.001,0.054,0,0,0,0,0
54.6,37.5,14.2,0.0,0.4,19.4,frown curvature / background?,1.00,FALSE,0,0,231,,0.002,0.0008,0.00330,13,,,,,,,,,,,,,,,
54.6,40,14.4,0.0,0.2,19.5,frown curvature / background?,1.00,FALSE,0,0,245,,0.002,0.0008,0.00382,7,,,,,,,,,,,,,,,
54.6,50,14.2,0.0,0.2,15.3,frown curvature / background?,1.00,FALSE,0,0,256,,0.002,0.0004,0.00308,119,,,,,,,,,,,,,,,
54.6,60,14.1,0.0,0.2,16.1,frown curvature / background?,1.00,FALSE,0,0,275,,0.002,0.0013,0.00329,10,,,,,,,,,,,,,,,
54.6,75,13.5,0.0,0.4,19.7,frown curvature / background?,1.00,FALSE,0,0,285,,0.002,0.0012,0.00247,34,,,,,,,,,,,,,,,
54.6,100,13.0,0.0,0.5,19.9,frown curvature / background?,1.00,FALSE,0,0,310,,0.002,0.0016,0.00292,19,,,,,,,,,,,,,,,
66.7,2.5,18.2,0.1,13.6,22.3,smile curvature / wideness,0.97,FALSE,0,0,92,,0.001,0.0005,0.00282,1405921490,390.76,Borderline,31.4,0,0,0,0,0.833,0.001,0.166,0,0,0,0.00038293,6.3654E-07
66.7,5,16.8,0.1,6.4,19.9,smile curvature / wideness,0.98,FALSE,0,0,94,,0.002,0.0011,0.00232,1747438276,149.48,OK,28.1,0,0,0,0,0.901,0.001,0.098,0,0,0,0.00071938,7.9002E-07
66.7,25,20.5,0.1,5.6,22.6,smile curvature / wideness,0.99,FALSE,0,0,211,,0.002,0.0011,0.00235,1384251467,,,,,,,,,,,,,,,
66.7,37.5,17.7,0.0,0.7,10.3,smile curvature / wideness,1.00,FALSE,0,0,86,,0.002,0.0007,0.00283,78375561,57.66,OK,20.1,0,0,0,0,0.844,0.001,0,0,0.154,0,0.0015866,1.2595E-06
66.7,40,17.5,0.0,0.3,0.9,borderline,1.00,FALSE,0,0,118,,0.002,0.0006,0.00501,86377189,158.92,OK,18.7,0.33,0.001,0,0,0.669,0.002,0,0,0,0,0.000822,8.4146E-07
66.7,50,16.9,0.0,0.6,10.5,smile curvature / wideness,1.00,FALSE,0,0,64,,0.002,0.0007,0.00267,134186497,30.06,OK,19,0,0,0,0,0.886,0.001,0,0,0.111,0.001,0.002835,1.9377E-06
66.7,60,14.6,0.0,0.1,3.3,frown curvature / background?,1.00,FALSE,0,0,89,,0.002,0.0009,0.00304,171361264,46.29,OK,15.2,0,0,0,0,0.998,0,0,0,0,0,0.0016528,1.2526E-06
66.7,75,14.6,0.0,0.2,9.5,frown curvature / background?,1.00,FALSE,0,0,65,,0.002,0.0005,0.00289,175501300,42.77,OK,15,0,0,0,0,0.997,0.001,0,0,0,0,0.0031078,2.0149E-06
66.7,100,13.2,0.0,0.3,25.8,frown curvature / background?,1.00,FALSE,0,0,63,,0.002,0.0007,0.00288,199789249,68.77,OK,14.9,0,0,0,0,0.996,0.001,0,0,0,0,0.0035961,2.2316E-06
75,2.5,19.6,0.1,4.5,16.0,smile curvature / wideness,0.99,FALSE,0,0,130,,0.002,0.0004,0.00274,77,,,,,,,,,,,,,,,
75,5,18.1,0.1,7.4,19.7,smile curvature / wideness,0.99,FALSE,0,0,84,,0.002,0.0004,0.00338,15,529.56,Borderline,31.2,0,0,0,0,0.842,0.001,0.158,0,0,0,0.00018607,5.5861E-07
75,25,18.7,0.0,2.5,13.6,smile curvature / wideness,1.00,FALSE,0,0,121,,0.001,0.0006,0.00221,1575623389,206.75,Borderline,26.3,0.168,0.013,0,0,0.695,0.009,0.068,0.001,0.068,0.005,0.0007304,1.2015E-06
75,37.5,17.5,0.0,2.2,11.9,smile curvature / wideness,0.99,FALSE,0,0,81,,0.002,0.0010,0.00342,1287747211,74.98,OK,25.7,0,0,0,0,0.844,0.001,0.062,0.001,0.092,0.001,0.0019183,1.4401E-06
75,40,15.7,0.0,0.9,16.2,frown curvature / background?,1.00,FALSE,0,0,88,,0.001,-0.0023,0.00182,1605256581,966.44,Borderline,15.1,0,0,0,0,0.997,0.001,0,0,0,0,0.0025222,1.6842E-06
75,50,14.2,0.1,2.3,18.1,frown curvature / background?,0.99,FALSE,0,0,79,,0.002,0.0006,0.00407,59,,,,,,,,,,,,,,,
75,60,13.9,0.1,2.4,28.9,frown curvature / background?,0.99,FALSE,0,0,80,,0.002,0.0004,0.00290,2322569862,,,,,,,,,,,,,,,
75,75,13.0,0.1,2.1,10.8,frown curvature / background?,0.98,FALSE,0,0,85,,0.002,0.0004,0.00445,11,,,,,,,,,,,,,,,
75,100,14.1,0.1,2.8,21.5,frown curvature / background?,0.99,FALSE,1,0.22382124,79,,0.002,0.0022,0.00295,3,191.87,OK,15,0,0,0,0,0.997,0.001,0,0,0,0,0.0028979,1.9005E-06
99,2.5,16.9,0.0,0.2,5.7,frown curvature / background?,1.00,FALSE,0,0,62,,0.002,0.0008,0.00247,1615766362,102.46,OK,23.7,0,0,0,0,0.87,0.001,0.042,0.001,0.085,0.001,0.0035303,2.2411E-06
99,5,17.2,0.0,1.3,14.2,smile curvature / wideness,1.00,FALSE,0,0,62,,0.002,0.0006,0.00226,1457912794,135.86,OK,29.3,0,0,0,0,0.869,0.001,0.128,0,0,0,0.0036981,2.3094E-06
99,25,19.1,0.0,1.9,21.3,smile curvature / wideness,1.00,FALSE,0,0,106,,0.002,0.0007,0.00373,157,354.06,Borderline,29.6,0.137,0.003,0,0,0.731,0.003,0.131,0.001,0,0,0.0013839,1.1743E-06
99,37.5,18.4,0.0,1.7,21.7,smile curvature / wideness,1.00,FALSE,0,0,67,,0.004,0.0020,0.00813,6,219.05,Borderline,30.9,0,0,0,0,0.83,0.001,0.167,0,0,0,0.0034747,2.2538E-06
99,40,14.6,0.0,1.8,17.8,frown curvature / background?,0.99,FALSE,0,0,70,,0.001,-0.0036,0.00422,1166089386,223.84,Borderline,14.9,0,0,0,0,0.996,0.001,0,0,0,0,0.0040404,2.5046E-06
99,50,14.6,0.0,0.3,16.1,frown curvature / background?,1.00,FALSE,0,0,75,,0.002,0.0011,0.00383,4,159.15,OK,16.6,0,0,0,0,0.991,0.001,0.006,0,0,0,0.0032776,2.1475E-06
99,60,13.0,0.1,9.9,24.7,frown curvature / background?,0.93,FALSE,0,0,63,,0.002,0.0007,0.00539,13,,,,,,,,,,,,,,,
99,70,11.4,0.2,10.2,28.8,frown curvature / background?,0.88,FALSE,0,0,65,,0.002,0.0011,0.00345,8,,,,,,,,,,,,,,,
99,100,8.5,0.4,49.8,20.8,frown curvature / background?,0.32,FALSE,1,0.028195136,46,,0.002,0.0007,0.00396,5,,,,,,,,,,,,,,,
